Negative_words,Frequency
method,10
deletes,6
pos,6
devices,4
livable,4
inch,10
register,8
inexpensive,4
imperfections,2
eg,2
speakerphone,12
earbuds,2
making,22
napkin,4
whitout,4
accesories,6
rather,14
300,4
dollar,10
abusive,4
retur,4
80,10
least,60
90,6
known,18
uses,6
stinks,4
excessively,4
overheating,6
hand,14
morning,6
beyond,10
iteven,2
haven't,34
experienced,4
thisit,4
timeone,4
data,30
log,6
appit,4
snapdragon,4
400,4
series,4
fashion,2
crazy,12
failing,18
test,8
helloi,4
​​the,4
equipment,10
bill,14
authorized,6
agent,4
additionally,14
request,8
legal,6
similari'm,4
shipment,10
wall,18
remain,6
popped,16
scratch,12
cord,24
delivery,14
tlf,12
cat,4
responsible,6
solution,10
r11finol@hotmailcompensé,4
podía,4
confiar,4
comprar,4
un,4
producto,4
recibieron,4
sin,4
alimentación,4
suministro,4
datos,4
otro,4
lado,4
viene,6
con,10
baterías,4
malas,4
también,4
vino,4
una,4
gran,4
cantidad,4
arañazos,4
gato,4
mí,4
así,4
es,6
responsable,4
los,4
daños,4
solución,4
ofrezco,4
espero,4
respuesta,4
r11finol@hotmailcom,4
bummed,4
long-time,4
at&ts,4
sweet,4
$45,8
$67,4
telling,10
ha,4
refuse,4
rock,4
specific,2
detailhe,2
couldn't200$went,2
resell,4
useoverall,2
questions,4
constant,10
refuses,4
ridiculously,6
$15000,2
paperweight,6
base,12
needing,2
vehicle,2
dident,6
issu,6
whit,10
fhone,6
20-30%,6
hassles,6
worht,6
couldnot,2
refurbed,8
failure,10
frim,2
fluctuating,6
throw,20
wash,2
brings,2
cash,4
nuebo,2
usedotherwise,2
binding,2
latin,4
comparing,6
samsung,16
galaxy,16
s3,8
behind,6
speed,8
flexibility,4
sells,4
assuming,4
attached,6
knows,8
active,12
resolved,2
kinks,2
sounding,2
uninspired,2
somewhat,10
continually,14
rebooting,8
avail,8
past,24
"""free""",2
typical,2
holds,16
40%,8
spins,2
excuse,2
phons,2
shattered,6
walmart,6
$199,2
boot,6
red,10
verify,6
responce,6
rated,2
jam,2
constraints,2
sale,8
$300,4
brick,2
consider,2
hassle,26
powers,6
suppliers,2
purposefully,2
disclose,2
announce,2
$400,2
anybody,2
nuts,2
thatthis,2
inadequate,2
avoid,4
hoops,2
manufacturers,2
companies,6
million,2
ain't,2
fun,2
dad,8
india,14
normal,12
4-5,8
hang,10
torch,8
holding,16
bc,10
reboot,6
problembut,6
sens,6
orderedit,2
regular,14
simit,2
requiredi,2
zero,24
honesty,4
mailbox,2
llego,6
default,6
chokes,6
reheated,6
mint,6
accurate,6
keys,10
graduation,4
wrote,20
green,10
silicone,4
chargethen,6
sounded,18
tones,6
loudes,6
68%,6
instantaneously,6
1%,10
hoursi,6
eligible,6
module,2
cornersi,2
surprises,4
landed,2
spain,2
replacing,14
applestore,2
barcelona,2
job,8
situation,6
country,18
japan,2
shutter,2
sounds,2
19th,4
occasionally,6
switch,10
seconds,16
january,4
25th,4
2014,10
advised,4
apples,12
180,4
mile,4
round,8
removing,8
re-bootingthe,4
technician,10
originally,10
mid,6
las,4
vegas,4
showed,12
signs,8
"""refurbished""given",4
supposition,4
30+%,2
minuets,2
bough,2
stream,2
disney,2
movies,2
damagebut,2
newsi,2
compensation,2
droid,6
overcome,2
prefer,6
diabolical,2
hater,2
friends,8
craig,2
rob,2
stephen,2
stuff,20
liberals,2
yearned,2
lick,2
sweat,2
steve,2
jobs,2
sack,2
metaphorically,2
speaking,4
embedded,2
childhood,2
cool,8
maybe,26
human,4
centipede,2
they've,2
otheroverall,2
gen,2
wirelessthe,2
receiver,6
solutions,10
'have,2
technicians,6
inspect,4
it',2
refunding,2
"""restocking",2
"fee""",2
"""used""on",2
blocks,2
unauthorized,4
lightning,2
cords,2
form,10
practically,2
leads,8
usedrefurbished,2
"""used""",2
againif,2
0,12
bs,4
period,10
usb,16
needs,20
lots,12
stratches,8
expedited,8
shippingcalled,2
itthe,6
badso,2
knowing,8
improperly,2
assembled,4
mute,2
great2,2
sides,6
humped,2
easily,4
switching,2
earpiece,14
blank,4
delay,2
bday,10
bin,6
prpaid,6
ruining,6
birthday,18
hav,6
for-,6
extremly,6
pornovirusand,2
kepeeng,2
anythingwaste,2
34,4
recourse,4
based,14
communicate,4
thisthis,6
issuewould,4
folks,8
decepcionado,4
pull,6
kind,10
site,12
coming,18
echo,4
23500,2
drain,16
scatches,6
average,10
buggy,2
guaranteed,2
gap,2
unlockedmetro,2
pcs,6
usable,6
rootingphone,2
metro,2
bloatware,4
unneeded,2
installed,8
message,22
"""metro",2
riding,2
nationwide,2
"network""",2
repeat,2
phoneat,2
x's,2
utter,4
dried,4
overheats,4
purse,4
seria,2
proble3m,2
还不错，中国要用卡贴，支持联通移动2g,2
买来三天就被偷了not,2
affixed,2
unicom,2
2g,14
​​bought,2
cheaponly,4
3-5,6
download,24
sucked,6
endless,12
accessing,4
recharging,6
expires,2
searched,4
web,6
common,8
tact,4
nonfunctional,4
refused,16
logo,10
resolving,6
options,6
disappointing-,4
hopes,8
luck,10
trailed,4
35,2
thoroughly,6
multitask,2
inopportune,2
begun,2
throughout,6
scammed,6
effort,4
messaging,4
5-7,4
cmdagsm,4
iphonesupossed,2
access,14
thus,8
following,10
tip,6
closing,6
longtime,4
label,16
world,6
wide,2
johannesburg,4
ut,4
texas,4
required,16
telephony,4
"""i",4
states,2
virgin,4
breaking,8
everyday,12
nice,14
backwards,2
fuckyou！sb,2
cnm,2
assembly,2
machine,2
shenzhen,2
manual,10
fever,2
e-passion,2
install,8
existent,2
market,2
proximity,4
sensor,8
2011and,4
state,12
usually,10
complain,4
badly,18
scrapped,4
texting,10
ipad2,2
macbook,2
pro,2
regularlyi,2
tray,16
pathetic,14
hoursthe,2
obviously,8
packing,2
promoting,2
a-ok,2
trayi,2
separate,2
terriblei,2
marketed,8
$us67,4
wretched,4
compensate,4
thisas,4
warranted,8
intentions,4
excess,4
payments,6
toward,4
someone's,4
negligence,4
dishonesty,4
extra,18
funds,6
beside,6
windows,10
2003,4
performs,4
source,4
disconection,4
preformance,4
airplane,10
mode,16
slack,8
imagine,4
scale,6
itit,6
fakedmeaning,6
prices,6
"""refurbished",2
"iphone""",2
currently,10
$90,2
empty,2
router,4
twice,12
understanding,2
bubblewrap,2
glass,12
chipped,4
dropping,6
metal,6
underneat,2
marred,2
drop,12
assumei,2
eveything,2
computerthe,2
wrapped,2
tape,2
ithe,2
thati,2
cruddy,2
minimum,6
simple,14
prepaid,14
peace,16
blacklisteddd,2
fair,2
signed,2
workingi,2
conditionit,2
addit,2
trashed,2
110,6
acts,6
screw,6
14,8
justify,4
case-,2
loves,22
meets,2
faceitme,2
complained,6
nearly,4
$500,4
commitment,2
fifty,6
goods,4
"""on""",4
counterfeit,4
hello,4
happend,4
youim,4
answersisinserly,4
levani,4
def,2
millions,2
shoppers,2
appreciate,4
itemyour,2
statsno,2
profile,2
image,6
4reviewer,2
rank,2
14869872would,2
reviewyou,2
edit,2
hereproduct,2
imagerca,2
m1,4
40,8
dual,12
5m41,2
28250,2
april,6
2015by,2
deivis,2
rosstaverified,2
purchasewhat's,2
rca,2
5mp,4
44,2
13ghz,2
accessoryi,2
recommendsee,2
sitereview,2
unlockedbut,6
unblock,6
sat,2
frozen,2
start-up,2
exchange,4
'i,4
subsidiary,2
deals',2
inventory,4
we're,10
order'so,2
printer,2
print,2
bussiness,2
neutral,2
branded,2
